ruta,tamano_bytes,motivo
"TESTS/__pycache__/test_4106_limpieza_apps_antiguas.cpython-313.pyc",1765,"cache_python"
"TESTS/__pycache__/test_4107_mapa_maestro_modulos.cpython-313.pyc",2136,"cache_python"
"TESTS/__pycache__/test_4108_cierre_tecnico_host_ai.cpython-313.pyc",1830,"cache_python"
"TESTS/__pycache__/test_4110_informe_pendientes_familia.cpython-313.pyc",2510,"cache_python"
"TESTS/__pycache__/test_4111_editor_familias_articulos.cpython-313.pyc",2903,"cache_python"
"TESTS/__pycache__/test_4112_clasificador_familias_proveedor.cpython-313.pyc",3393,"cache_python"
"TESTS/__pycache__/test_4113_cierre_catalogo_base.cpython-313.pyc",2689,"cache_python"
"TESTS/__pycache__/test_412_clasificador_articulos_restaurante.cpython-313.pyc",2148,"cache_python"
"TESTS/__pycache__/test_413_generador_codigos_articulos.cpython-313.pyc",2112,"cache_python"
"TESTS/__pycache__/test_414_importador_articulos_restaurante.cpython-313.pyc",3336,"cache_python"
"TESTS/__pycache__/test_4151_buscador_inteligente_articulos_mejorado.cpython-313.pyc",3023,"cache_python"
"TESTS/__pycache__/test_415_buscador_inteligente_articulos.cpython-313.pyc",2909,"cache_python"
"TESTS/__pycache__/test_416_alta_articulo.cpython-313.pyc",2367,"cache_python"
"TESTS/__pycache__/test_417_editor_articulos.cpython-313.pyc",2564,"cache_python"
"TESTS/__pycache__/test_418_informe_catalogo_articulos.cpython-313.pyc",2547,"cache_python"
"TESTS/__pycache__/test_419_clasificador_familias_articulos.cpython-313.pyc",4156,"cache_python"
"TESTS/__pycache__/test_421_extractor_proveedores.cpython-313.pyc",3192,"cache_python"
"TESTS/__pycache__/test_422_editor_proveedores.cpython-313.pyc",2520,"cache_python"
"TESTS/__pycache__/test_423_informe_proveedores.cpython-313.pyc",2690,"cache_python"
"TESTS/__pycache__/test_4310_historial_movimientos_stock.cpython-313.pyc",3068,"cache_python"
"TESTS/__pycache__/test_43111_plantilla_inventario.cpython-313.pyc",2177,"cache_python"
"TESTS/__pycache__/test_43112_importador_inventario.cpython-313.pyc",2838,"cache_python"
"TESTS/__pycache__/test_43113_comparador_inventario.cpython-313.pyc",3036,"cache_python"
"TESTS/__pycache__/test_43114_aplicador_ajustes_inventario.cpython-313.pyc",4175,"cache_python"
"TESTS/__pycache__/test_43115_informe_final_inventario.cpython-313.pyc",2782,"cache_python"
"TESTS/__pycache__/test_4312_cierre_modulo_stock.cpython-313.pyc",2772,"cache_python"
"TESTS/__pycache__/test_431_plantilla_stock_inicial.cpython-313.pyc",2072,"cache_python"
"TESTS/__pycache__/test_432_importador_stock_inicial.cpython-313.pyc",3256,"cache_python"
"TESTS/__pycache__/test_433_informe_stock_inicial.cpython-313.pyc",2828,"cache_python"
"TESTS/__pycache__/test_434_alertas_stock_bajo.cpython-313.pyc",2549,"cache_python"
"TESTS/__pycache__/test_435_pedido_sugerido_stock_bajo.cpython-313.pyc",2613,"cache_python"
"TESTS/__pycache__/test_436_confirmador_pedido_sugerido.cpython-313.pyc",2780,"cache_python"
"TESTS/__pycache__/test_437_motor_movimientos_stock.cpython-313.pyc",3376,"cache_python"
"TESTS/__pycache__/test_438_entrada_stock_desde_pedido.cpython-313.pyc",3785,"cache_python"
"TESTS/__pycache__/test_439_salidas_stock.cpython-313.pyc",2915,"cache_python"
"TESTS/__pycache__/test_4412_runner_tests.cpython-313.pyc",1899,"cache_python"
"TESTS/__pycache__/test_4413_logs_proyecto.cpython-313.pyc",1828,"cache_python"
"TESTS/__pycache__/test_4414_configuracion_central.cpython-313.pyc",2435,"cache_python"
"TESTS/__pycache__/test_4415_instalador_host_ai.cpython-313.pyc",2124,"cache_python"
"TESTS/__pycache__/test_441_interprete_recepcion_texto.cpython-313.pyc",2145,"cache_python"
"TESTS/__pycache__/test_442_validador_recepcion_mercancia.cpython-313.pyc",2844,"cache_python"
"TESTS/__pycache__/test_443_aplicador_recepcion_mercancia.cpython-313.pyc",4357,"cache_python"
"TESTS/__pycache__/test_444_alta_articulos_recepcion.cpython-313.pyc",3438,"cache_python"
"TESTS/__pycache__/test_444_gestor_pendientes_recepcion.cpython-313.pyc",2996,"cache_python"
"TESTS/__pycache__/test_451_base_datos_definitiva.cpython-313.pyc",2671,"cache_python"
"TESTS/__pycache__/test_452_multi_restaurante.cpython-313.pyc",2288,"cache_python"
"TESTS/__pycache__/test_455_panel_estado.cpython-313.pyc",1960,"cache_python"
"TESTS/__pycache__/test_456_usuarios_roles.cpython-313.pyc",2151,"cache_python"
"TESTS/__pycache__/test_457_auditoria_sistema.cpython-313.pyc",1968,"cache_python"
"TESTS/__pycache__/test_458_permisos_avanzados.cpython-313.pyc",2403,"cache_python"
"TESTS/__pycache__/test_461_planificador_diario_produccion.cpython-313.pyc",2174,"cache_python"
"TESTS/__pycache__/test_462_prioridades_inteligentes_cocina.cpython-313.pyc",1704,"cache_python"
"TESTS/__pycache__/test_463_asignacion_cocineros.cpython-313.pyc",1533,"cache_python"
"TESTS/__pycache__/test_464_tiempos_activos_pasivos.cpython-313.pyc",1529,"cache_python"
"TESTS/__pycache__/test_465_recursos_cocina.cpython-313.pyc",1179,"cache_python"
"TESTS/__pycache__/test_466_conflictos_replanificacion.cpython-313.pyc",1907,"cache_python"
"TESTS/__pycache__/test_467_checklist_final_produccion.cpython-313.pyc",1094,"cache_python"
"TESTS/__pycache__/test_468_informe_diario_produccion.cpython-313.pyc",1260,"cache_python"
"TESTS/__pycache__/test_471_gestion_eventos.cpython-313.pyc",1848,"cache_python"
"TESTS/__pycache__/test_472_menus_evento.cpython-313.pyc",1665,"cache_python"
"TESTS/__pycache__/test_473_produccion_evento.cpython-313.pyc",1920,"cache_python"
"TESTS/__pycache__/test_474_compras_evento.cpython-313.pyc",1980,"cache_python"
"TESTS/__pycache__/test_475_personal_evento.cpython-313.pyc",1272,"cache_python"
"TESTS/__pycache__/test_476_material_evento.cpython-313.pyc",1438,"cache_python"
"TESTS/__pycache__/test_477_cronograma_evento.cpython-313.pyc",1349,"cache_python"
"TESTS/__pycache__/test_478_informe_final_evento.cpython-313.pyc",1489,"cache_python"
"TESTS/__pycache__/test_481_coste_real_receta.cpython-313.pyc",1406,"cache_python"
"TESTS/__pycache__/test_482_margen_plato_menu.cpython-313.pyc",1619,"cache_python"
"TESTS/__pycache__/test_483_rentabilidad_carta.cpython-313.pyc",1587,"cache_python"
"TESTS/__pycache__/test_484_simulador_precios.cpython-313.pyc",1514,"cache_python"
"TESTS/__pycache__/test_485_control_mermas.cpython-313.pyc",1092,"cache_python"
"TESTS/__pycache__/test_486_comparador_economico_proveedores.cpython-313.pyc",1051,"cache_python"
"TESTS/__pycache__/test_487_alertas_rentabilidad.cpython-313.pyc",1094,"cache_python"
"TESTS/__pycache__/test_488_informe_financiero_inteligente.cpython-313.pyc",970,"cache_python"
"TESTS/__pycache__/test_491_motor_decisiones_operativas.cpython-313.pyc",1264,"cache_python"
"TESTS/__pycache__/test_492_acciones_automaticas_seguras.cpython-313.pyc",1376,"cache_python"
"TESTS/__pycache__/test_493_respuestas_jefe_cocina.cpython-313.pyc",1173,"cache_python"
"TESTS/__pycache__/test_494_flujo_diario_automatico.cpython-313.pyc",1163,"cache_python"
"TESTS/__pycache__/test_495_asistente_urgencias.cpython-313.pyc",1372,"cache_python"
"TESTS/__pycache__/test_496_recomendaciones_inteligentes.cpython-313.pyc",1288,"cache_python"
"TESTS/__pycache__/test_497_panel_ia_central.cpython-313.pyc",1298,"cache_python"
"TESTS/__pycache__/test_498_cierre_host_ai_4.cpython-313.pyc",1554,"cache_python"
"TESTS/__pycache__/test_actualizador_inteligente_precios_factura.cpython-313.pyc",3695,"cache_python"
"TESTS/__pycache__/test_actualizador_inteligente_stock_factura.cpython-313.pyc",3501,"cache_python"
"TESTS/__pycache__/test_alertas_inteligentes_precios.cpython-313.pyc",3328,"cache_python"
"TESTS/__pycache__/test_alertas_inteligentes_stock.cpython-313.pyc",3336,"cache_python"
"TESTS/__pycache__/test_analizador_inteligente_compras.cpython-313.pyc",3690,"cache_python"
"TESTS/__pycache__/test_analizador_inteligente_escandallos.cpython-313.pyc",2796,"cache_python"
"TESTS/__pycache__/test_analizador_inteligente_produccion.cpython-313.pyc",2411,"cache_python"
"TESTS/__pycache__/test_analizador_inteligente_stock.cpython-313.pyc",2652,"cache_python"
"TESTS/__pycache__/test_analizador_lenguaje_natural.cpython-313.pyc",2007,"cache_python"
"TESTS/__pycache__/test_app_base_ejecutable.cpython-313.pyc",2843,"cache_python"
"TESTS/__pycache__/test_aprendizaje_relacion_proveedor.cpython-313.pyc",4016,"cache_python"
"TESTS/__pycache__/test_asignador_recursos_produccion.cpython-313.pyc",2409,"cache_python"
"TESTS/__pycache__/test_asistente_conversacional.cpython-313.pyc",5009,"cache_python"
"TESTS/__pycache__/test_asistente_importacion_excel.cpython-313.pyc",6002,"cache_python"
"TESTS/__pycache__/test_asistente_inteligente_host_ai_308.cpython-313.pyc",2237,"cache_python"
"TESTS/__pycache__/test_auditoria_importaciones_universales.cpython-313.pyc",4211,"cache_python"
"TESTS/__pycache__/test_automatizador_inteligente_308.cpython-313.pyc",2604,"cache_python"
"TESTS/__pycache__/test_base_actualizacion_precios_factura.cpython-313.pyc",3328,"cache_python"
"TESTS/__pycache__/test_base_actualizacion_stock_factura.cpython-313.pyc",3243,"cache_python"
"TESTS/__pycache__/test_base_datos_local.cpython-313.pyc",3825,"cache_python"
"TESTS/__pycache__/test_base_importador_universal_facturas.cpython-313.pyc",4207,"cache_python"
"TESTS/__pycache__/test_base_ocr_documentos.cpython-313.pyc",3488,"cache_python"
"TESTS/__pycache__/test_buscador_articulos_parecidos.cpython-313.pyc",3911,"cache_python"
"TESTS/__pycache__/test_cierre_escandallos_inteligentes.cpython-313.pyc",3140,"cache_python"
"TESTS/__pycache__/test_cierre_gestion_inteligente_stock.cpython-313.pyc",2664,"cache_python"
"TESTS/__pycache__/test_cierre_ia_conversacional_308.cpython-313.pyc",2016,"cache_python"
"TESTS/__pycache__/test_cierre_importador_universal.cpython-313.pyc",2754,"cache_python"
"TESTS/__pycache__/test_cierre_inteligencia_compras.cpython-313.pyc",3482,"cache_python"
"TESTS/__pycache__/test_cierre_inteligente_produccion.cpython-313.pyc",2413,"cache_python"
"TESTS/__pycache__/test_comparador_historico_escandallos.cpython-313.pyc",2942,"cache_python"
"TESTS/__pycache__/test_comparador_inteligente_proveedores.cpython-313.pyc",2412,"cache_python"
"TESTS/__pycache__/test_comparador_proveedores_precios.cpython-313.pyc",3447,"cache_python"
"TESTS/__pycache__/test_control_ejecucion_produccion.cpython-313.pyc",3144,"cache_python"
"TESTS/__pycache__/test_control_inteligente_movimientos_stock.cpython-313.pyc",2680,"cache_python"
"TESTS/__pycache__/test_detector_anomalias_compras.cpython-313.pyc",4457,"cache_python"
"TESTS/__pycache__/test_detector_campos_linea_factura.cpython-313.pyc",3390,"cache_python"
"TESTS/__pycache__/test_detector_documentos_excel.cpython-313.pyc",5086,"cache_python"
"TESTS/__pycache__/test_detector_proveedores_pdf.cpython-313.pyc",4136,"cache_python"
"TESTS/__pycache__/test_ejecutor_importador_universal_facturas.cpython-313.pyc",4117,"cache_python"
"TESTS/__pycache__/test_escandallos_inteligentes_3071_3072.cpython-313.pyc",2798,"cache_python"
"TESTS/__pycache__/test_escandallos_inteligentes_3071_3072_3073_3074.cpython-313.pyc",4122,"cache_python"
"TESTS/__pycache__/test_escandallos_inteligentes_3071_3072_3073_3074_3075_3076.cpython-313.pyc",4618,"cache_python"
"TESTS/__pycache__/test_escandallos_inteligentes_3071_3072_3073_3074_3075_3076_3077_3078.cpython-313.pyc",5788,"cache_python"
"TESTS/__pycache__/test_generador_inteligente_respuestas.cpython-313.pyc",2401,"cache_python"
"TESTS/__pycache__/test_gestion_inteligente_stock_3051_3052.cpython-313.pyc",2934,"cache_python"
"TESTS/__pycache__/test_gestion_inteligente_stock_3051_3052_3053_3054.cpython-313.pyc",3772,"cache_python"
"TESTS/__pycache__/test_gestion_inteligente_stock_3051_3052_3053_3054_3055_3056.cpython-313.pyc",4659,"cache_python"
"TESTS/__pycache__/test_gestion_inteligente_stock_3051_3052_3053_3054_3055_3056_3057_3058.cpython-313.pyc",3563,"cache_python"
"TESTS/__pycache__/test_historico_inteligente_precios.cpython-313.pyc",3411,"cache_python"
"TESTS/__pycache__/test_historico_inteligente_stock.cpython-313.pyc",3255,"cache_python"
"TESTS/__pycache__/test_host_ai_3_0_stable.cpython-313.pyc",3338,"cache_python"
"TESTS/__pycache__/test_ia_conversacional_3081_3082.cpython-313.pyc",2469,"cache_python"
"TESTS/__pycache__/test_ia_conversacional_3081_3082_3083_3084.cpython-313.pyc",3162,"cache_python"
"TESTS/__pycache__/test_ia_conversacional_3081_3082_3083_3084_3085_3086.cpython-313.pyc",3655,"cache_python"
"TESTS/__pycache__/test_ia_conversacional_3081_3082_3083_3084_3085_3086_3087_3088.cpython-313.pyc",4450,"cache_python"
"TESTS/__pycache__/test_importador_articulos_excel.cpython-313.pyc",4788,"cache_python"
"TESTS/__pycache__/test_importador_escandallos_excel.cpython-313.pyc",5214,"cache_python"
"TESTS/__pycache__/test_importador_inventario_excel.cpython-313.pyc",5679,"cache_python"
"TESTS/__pycache__/test_inteligencia_compras_3041_3042_3043_3044.cpython-313.pyc",4527,"cache_python"
"TESTS/__pycache__/test_inteligencia_compras_3041_3042_3043_3044_3045_3046.cpython-313.pyc",4989,"cache_python"
"TESTS/__pycache__/test_inteligencia_compras_3041_3042_3043_3044_3045_3046_3047_3048.cpython-313.pyc",5735,"cache_python"
"TESTS/__pycache__/test_lector_completo_lineas_factura.cpython-313.pyc",3106,"cache_python"
"TESTS/__pycache__/test_lector_excel.cpython-313.pyc",4893,"cache_python"
"TESTS/__pycache__/test_lector_facturas_con_ocr.cpython-313.pyc",4126,"cache_python"
"TESTS/__pycache__/test_lector_pdf_facturas.cpython-313.pyc",4697,"cache_python"
"TESTS/__pycache__/test_mapeador_columnas_excel.cpython-313.pyc",5511,"cache_python"
"TESTS/__pycache__/test_memoria_conversacional_308.cpython-313.pyc",2626,"cache_python"
"TESTS/__pycache__/test_modelos_lineas_factura.cpython-313.pyc",3392,"cache_python"
"TESTS/__pycache__/test_modelos_relacion_articulos_factura.cpython-313.pyc",3442,"cache_python"
"TESTS/__pycache__/test_modulo_costes_inteligente.cpython-313.pyc",6786,"cache_python"
"TESTS/__pycache__/test_motor_alertas_escandallos.cpython-313.pyc",2426,"cache_python"
"TESTS/__pycache__/test_motor_alertas_produccion.cpython-313.pyc",2566,"cache_python"
"TESTS/__pycache__/test_motor_alertas_stock.cpython-313.pyc",2872,"cache_python"
"TESTS/__pycache__/test_motor_conversacional_308.cpython-313.pyc",2594,"cache_python"
"TESTS/__pycache__/test_motor_escandallos_inteligente.cpython-313.pyc",5940,"cache_python"
"TESTS/__pycache__/test_motor_ia_culinaria.cpython-313.pyc",5188,"cache_python"
"TESTS/__pycache__/test_motor_inteligente_pedidos.cpython-313.pyc",3305,"cache_python"
"TESTS/__pycache__/test_motor_ocr_simulado.cpython-313.pyc",3537,"cache_python"
"TESTS/__pycache__/test_motor_optimizacion_carta.cpython-313.pyc",3880,"cache_python"
"TESTS/__pycache__/test_motor_produccion_real.cpython-313.pyc",6149,"cache_python"
"TESTS/__pycache__/test_motor_recomendaciones_compras.cpython-313.pyc",2162,"cache_python"
"TESTS/__pycache__/test_optimizador_inteligente_produccion.cpython-313.pyc",3496,"cache_python"
"TESTS/__pycache__/test_optimizador_inteligente_recetas.cpython-313.pyc",3140,"cache_python"
"TESTS/__pycache__/test_optimizador_stock.cpython-313.pyc",3026,"cache_python"
"TESTS/__pycache__/test_parser_lineas_factura.cpython-313.pyc",3509,"cache_python"
"TESTS/__pycache__/test_pipeline_compras.cpython-313.pyc",3957,"cache_python"
"TESTS/__pycache__/test_pipeline_produccion_completa.cpython-313.pyc",5314,"cache_python"
"TESTS/__pycache__/test_pipeline_stock.cpython-313.pyc",4791,"cache_python"
"TESTS/__pycache__/test_planificador_inteligente_produccion.cpython-313.pyc",2470,"cache_python"
"TESTS/__pycache__/test_prediccion_inteligente_precios.cpython-313.pyc",3856,"cache_python"
"TESTS/__pycache__/test_prediccion_inteligente_rentabilidad.cpython-313.pyc",3010,"cache_python"
"TESTS/__pycache__/test_prediccion_necesidades_stock.cpython-313.pyc",2588,"cache_python"
"TESTS/__pycache__/test_prediccion_roturas_stock.cpython-313.pyc",2468,"cache_python"
"TESTS/__pycache__/test_produccion_3061_3062.cpython-313.pyc",2469,"cache_python"
"TESTS/__pycache__/test_produccion_3061_3062_3063_3064.cpython-313.pyc",3111,"cache_python"
"TESTS/__pycache__/test_produccion_3061_3062_3063_3064_3065_3066.cpython-313.pyc",4458,"cache_python"
"TESTS/__pycache__/test_produccion_3061_3062_3063_3064_3065_3066_3067_3068.cpython-313.pyc",5730,"cache_python"
"TESTS/__pycache__/test_rc3_1_calidad_piloto.cpython-313.pyc",2785,"cache_python"
"TESTS/__pycache__/test_rc3_2_rendimiento_piloto.cpython-313.pyc",2237,"cache_python"
"TESTS/__pycache__/test_rc3_3_logs_piloto.cpython-313.pyc",2595,"cache_python"
"TESTS/__pycache__/test_rc3_4_instalacion_piloto.cpython-313.pyc",2947,"cache_python"
"TESTS/__pycache__/test_rc3_5_certificacion_piloto.cpython-313.pyc",2036,"cache_python"
"TESTS/__pycache__/test_reconciliador_inteligente_stock.cpython-313.pyc",2889,"cache_python"
"TESTS/__pycache__/test_reconciliador_stock_factura.cpython-313.pyc",3337,"cache_python"
"TESTS/__pycache__/test_registro_pipelines_api.cpython-313.pyc",3940,"cache_python"
"TESTS/__pycache__/test_relacionador_automatico_articulos_factura.cpython-313.pyc",4114,"cache_python"
"TESTS/__pycache__/test_replanificador_inteligente_produccion.cpython-313.pyc",3017,"cache_python"
"TESTS/__pycache__/test_resolucion_conflictos_excel.cpython-313.pyc",4524,"cache_python"
"TESTS/__pycache__/test_resumen_ejecutivo_importaciones.cpython-313.pyc",3267,"cache_python"
"TESTS/__pycache__/test_s002_cierres_stock_escandallos.cpython-313.pyc",6656,"cache_python"
"TESTS/__pycache__/test_selector_inteligente_motores.cpython-313.pyc",2154,"cache_python"
"TESTS/__pycache__/test_simulador_costes_escandallos.cpython-313.pyc",2939,"cache_python"
"TESTS/__pycache__/test_stock_por_ubicaciones.cpython-313.pyc",3053,"cache_python"
"TESTS/__pycache__/test_validador_corrector_ocr.cpython-313.pyc",2721,"cache_python"
"TESTS/__pycache__/test_validador_lineas_factura.cpython-313.pyc",4193,"cache_python"
"TESTS/__pycache__/test_validador_relaciones_articulos_factura.cpython-313.pyc",3741,"cache_python"
"TESTS/__pycache__/__init__.cpython-313.pyc",138,"cache_python"
"SERVICIOS/__pycache__/acciones_automaticas_seguras_492.cpython-313.pyc",3852,"cache_python"
"SERVICIOS/__pycache__/actualizador_inteligente_precios_factura.cpython-313.pyc",9192,"cache_python"
"SERVICIOS/__pycache__/actualizador_inteligente_stock_factura.cpython-313.pyc",9995,"cache_python"
"SERVICIOS/__pycache__/alertas_inteligentes_precios.cpython-313.pyc",7519,"cache_python"
"SERVICIOS/__pycache__/alertas_inteligentes_stock.cpython-313.pyc",7672,"cache_python"
"SERVICIOS/__pycache__/alertas_stock_bajo_434.cpython-313.pyc",9012,"cache_python"
"SERVICIOS/__pycache__/alta_articulos_recepcion_444.cpython-313.pyc",10484,"cache_python"
"SERVICIOS/__pycache__/analizador_inteligente_compras.cpython-313.pyc",7265,"cache_python"
"SERVICIOS/__pycache__/analizador_inteligente_escandallos.cpython-313.pyc",15018,"cache_python"
"SERVICIOS/__pycache__/analizador_inteligente_produccion.cpython-313.pyc",10844,"cache_python"
"SERVICIOS/__pycache__/analizador_inteligente_stock.cpython-313.pyc",11769,"cache_python"
"SERVICIOS/__pycache__/analizador_lenguaje_natural.cpython-313.pyc",7650,"cache_python"
"SERVICIOS/__pycache__/aplicador_ajustes_inventario_43114.cpython-313.pyc",9680,"cache_python"
"SERVICIOS/__pycache__/aplicador_recepcion_mercancia_443.cpython-313.pyc",13296,"cache_python"
"SERVICIOS/__pycache__/aprendizaje_relacion_proveedor.cpython-313.pyc",9077,"cache_python"
"SERVICIOS/__pycache__/asignacion_cocineros_463.cpython-313.pyc",5158,"cache_python"
"SERVICIOS/__pycache__/asignador_recursos_produccion.cpython-313.pyc",8649,"cache_python"
"SERVICIOS/__pycache__/asistente_importacion_excel.cpython-313.pyc",14610,"cache_python"
"SERVICIOS/__pycache__/asistente_inteligente_host_ai_308.cpython-313.pyc",9937,"cache_python"
"SERVICIOS/__pycache__/asistente_urgencias_495.cpython-313.pyc",6508,"cache_python"
"SERVICIOS/__pycache__/auditoria_dependencias_4103.cpython-313.pyc",8493,"cache_python"
"SERVICIOS/__pycache__/auditoria_importaciones_universales.cpython-313.pyc",6918,"cache_python"
"SERVICIOS/__pycache__/auditoria_modulos_4101.cpython-313.pyc",8550,"cache_python"
"SERVICIOS/__pycache__/auditoria_sistema_457.cpython-313.pyc",8207,"cache_python"
"SERVICIOS/__pycache__/auditoria_tests_4102.cpython-313.pyc",6194,"cache_python"
"SERVICIOS/__pycache__/automatizador_inteligente_308.cpython-313.pyc",7971,"cache_python"
"SERVICIOS/__pycache__/base_actualizacion_precios_factura.cpython-313.pyc",5989,"cache_python"
"SERVICIOS/__pycache__/base_actualizacion_stock_factura.cpython-313.pyc",4867,"cache_python"
"SERVICIOS/__pycache__/base_datos_local.cpython-313.pyc",6833,"cache_python"
"SERVICIOS/__pycache__/base_importador_universal_facturas.cpython-313.pyc",7117,"cache_python"
"SERVICIOS/__pycache__/base_lineas_factura.cpython-313.pyc",4288,"cache_python"
"SERVICIOS/__pycache__/base_ocr_documentos.cpython-313.pyc",6800,"cache_python"
"SERVICIOS/__pycache__/base_relacion_articulos_factura.cpython-313.pyc",4629,"cache_python"
"SERVICIOS/__pycache__/buscador_articulos_parecidos.cpython-313.pyc",11197,"cache_python"
"SERVICIOS/__pycache__/buscador_inteligente_articulos_415.cpython-313.pyc",10474,"cache_python"
"SERVICIOS/__pycache__/certificador_piloto_host_ai.cpython-313.pyc",8852,"cache_python"
"SERVICIOS/__pycache__/checklist_final_produccion_467.cpython-313.pyc",3257,"cache_python"
"SERVICIOS/__pycache__/cierre_catalogo_base_4113.cpython-313.pyc",9704,"cache_python"
"SERVICIOS/__pycache__/cierre_escandallos_inteligentes.cpython-313.pyc",11447,"cache_python"
"SERVICIOS/__pycache__/cierre_gestion_inteligente_stock.cpython-313.pyc",9543,"cache_python"
"SERVICIOS/__pycache__/cierre_host_ai_4_498.cpython-313.pyc",4721,"cache_python"
"SERVICIOS/__pycache__/cierre_ia_conversacional_308.cpython-313.pyc",5605,"cache_python"
"SERVICIOS/__pycache__/cierre_importador_universal.cpython-313.pyc",5009,"cache_python"
"SERVICIOS/__pycache__/cierre_inteligencia_compras.cpython-313.pyc",7741,"cache_python"
"SERVICIOS/__pycache__/cierre_inteligente_produccion.cpython-313.pyc",14161,"cache_python"
"SERVICIOS/__pycache__/cierre_modulo_stock_4312.cpython-313.pyc",11570,"cache_python"
"SERVICIOS/__pycache__/cierre_tecnico_host_ai_4108.cpython-313.pyc",5619,"cache_python"
"SERVICIOS/__pycache__/clasificador_familias_articulos_419.cpython-313.pyc",11636,"cache_python"
"SERVICIOS/__pycache__/clasificador_familias_proveedor_4112.cpython-313.pyc",10455,"cache_python"
"SERVICIOS/__pycache__/clasificador_tests_historicos_4105.cpython-313.pyc",6009,"cache_python"
"SERVICIOS/__pycache__/comparador_historico_escandallos.cpython-313.pyc",11246,"cache_python"
"SERVICIOS/__pycache__/comparador_inteligente_proveedores.cpython-313.pyc",8667,"cache_python"
"SERVICIOS/__pycache__/comparador_inventario_43113.cpython-313.pyc",11955,"cache_python"
"SERVICIOS/__pycache__/comparador_proveedores_precios.cpython-313.pyc",5214,"cache_python"
"SERVICIOS/__pycache__/configuracion_central_4414.cpython-313.pyc",10306,"cache_python"
"SERVICIOS/__pycache__/confirmador_pedido_sugerido_436.cpython-313.pyc",7523,"cache_python"
"SERVICIOS/__pycache__/conflictos_replanificacion_466.cpython-313.pyc",4877,"cache_python"
"SERVICIOS/__pycache__/control_ejecucion_produccion.cpython-313.pyc",10581,"cache_python"
"SERVICIOS/__pycache__/control_inteligente_movimientos_stock.cpython-313.pyc",6871,"cache_python"
"SERVICIOS/__pycache__/coste_real_receta_481.cpython-313.pyc",5266,"cache_python"
"SERVICIOS/__pycache__/cronograma_evento_477.cpython-313.pyc",4577,"cache_python"
"SERVICIOS/__pycache__/detector_anomalias_compras.cpython-313.pyc",17565,"cache_python"
"SERVICIOS/__pycache__/detector_campos_linea_factura.cpython-313.pyc",9454,"cache_python"
"SERVICIOS/__pycache__/detector_documentos_excel.cpython-313.pyc",11375,"cache_python"
"SERVICIOS/__pycache__/detector_proveedores_pdf.cpython-313.pyc",15144,"cache_python"
"SERVICIOS/__pycache__/editor_articulos_417.cpython-313.pyc",7991,"cache_python"
"SERVICIOS/__pycache__/editor_familias_articulos_4111.cpython-313.pyc",5982,"cache_python"
"SERVICIOS/__pycache__/editor_proveedores_422.cpython-313.pyc",7546,"cache_python"
"SERVICIOS/__pycache__/ejecutor_importador_universal_facturas.cpython-313.pyc",5272,"cache_python"
